stage,Alanine and aspartate metabolism,Arginine and Proline Metabolism,Citric acid cycle,Eicosanoid metabolism,Fatty acid oxidation,Glycerophospholipid metabolism,"Glycine, serine, alanine and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Keratan sulfate degradation,Lysine metabolism,Methionine and cysteine metabolism,Miscellaneous,N-glycan degradation,Pentose phosphate pathway,Pyruvate metabolism,Sphingolipid metabolism,Tryptophan metabolism,Tyrosine metabolism,Urea cycle,"Valine, leucine, and isoleucine metabolism",Vitamin C metabolism
bc,0.12947201404742725,0.4744607476305362,0.36130338428395925,0.49356962308509067,0.17890990559013684,0.5005388881648419,0.0,0.34840856336441794,0.20950322517892217,0.3392075528880152,0.4219459651974652,0.13781483695956556,0.6120952019801216,0.3392075528880152,0.2541978200264883,0.12704617300058466,1.0,0.4640924192203838,0.31820564215686514,0.19939559912375915,0.14051634892655526,0.0
bc,0.14208783576342826,0.40535788612204754,0.36595587624505965,0.4767527108221004,0.2237375275020756,0.7819106382973923,0.27206130350889374,0.28498376052873503,0.29069624523732296,0.3279508236650642,0.41991331253689906,0.17594304592221185,0.6114165284570191,0.3279508236650642,0.31284523955286936,0.20731264414052855,0.7997035907080929,0.46570512378967294,0.31472695382868543,0.18756226796711628,0.11525026794482435,0.028570455453247687
bc,0.13285014930940603,0.4604255178270954,0.3688091361723233,0.5107875133233233,0.20033654653708743,0.5005388881648419,0.074298539647969,0.4323766417716538,0.2239595070586454,0.4414993805314926,0.3427632851710318,0.16933922346999672,0.5330509260422847,0.4414993805314926,0.168911065075759,0.1763286463943102,0.9988174623867657,0.3949489873208035,0.31820564215686514,0.1979789204005742,0.05677380717378143,0.0775447386104988
bc,0.15024240232355895,0.378392935428381,0.38572832712203475,0.47341797665537116,0.26982584095218354,0.5114306590780174,0.012826400136814095,0.3605446572106387,0.27857928900166784,0.149100505425257,0.31776207400804535,0.0015715995139879357,0.6267262678416847,0.149100505425257,0.2398145047317418,0.15265872487525434,1.0,0.45782678774495167,0.31820564215686514,0.18032278165920917,0.0,0.0
bc,0.12857929639708848,0.40061572476547364,0.3530525355440852,0.491213161403921,0.1567982324645551,0.6209350269771885,0.2468929379882581,0.48158130094398605,0.27975751566519547,0.3388349376507508,0.4219459651974652,0.13755837115109168,0.6378467074834477,0.3388349376507508,0.1923895784960066,0.16620114305383218,0.8662402905464609,0.42784066940991944,0.31820564215686514,0.1993912179406542,0.13824630946868266,0.0
bc,0.13963035801216497,0.45146466685027503,0.37188115172324127,0.49356052034339937,0.2495886261718916,0.5005388881648419,0.0,0.3626585394164245,0.27975751566519547,0.339244207344033,0.4168753591538934,0.13641395799121656,0.6120952019801216,0.339244207344033,0.2422671986435592,0.12275738916730951,1.0,0.4554986995068515,0.2580901609268325,0.0,0.13141447258748581,0.0
bc,0.11504193940980582,0.47504782278705965,0.3551577662612468,0.48066767387593534,0.28670553598355236,0.6398117283609055,0.21311027465324522,0.3685513513024528,0.22490746536494496,0.45554570896087354,0.3842296960167413,0.2076246142356476,0.6086280184319749,0.45554570896087354,0.2360030183657259,0.13529887844466928,0.8878260747287805,0.4960953118839778,0.329456787918116,0.2103976268704078,0.126716391825015,0.04609389225051267
bc,0.017148955499259138,0.3932322851789156,0.17137813942289362,0.49356962308509067,0.40875733149497295,0.4913227787903512,0.021344900541854405,0.13004569614495728,0.29465210707380207,0.3388349376507508,0.38986987473260565,0.10133999014059604,0.745708922400506,0.3388349376507508,0.22578075588329233,0.0,0.43021967135967687,0.4683662334655015,0.23229976466094585,0.18161750496583953,0.06083256163355386,0.16564340584475387
bc,0.1600239260799072,0.46129308934861796,0.3986465289674986,0.4902379154563356,0.17152636668012056,0.5503952873921015,0.15507230580797077,0.4279624950110823,0.26511950884883534,0.17947209653785137,0.4390907308544553,0.12301515774077797,0.6118474415647064,0.17947209653785137,0.210163035233198,0.1943187629542448,1.0,0.4864457138870787,0.2444906742045723,0.20356756022040026,0.1459476872694548,0.0
bc,0.15566768504458336,0.4608329453603016,0.4024117924176372,0.5828963562808063,0.15444472510123314,0.5088181958755282,0.023796665752357237,0.5417401702316579,0.38146202760968306,0.3388349376507508,0.433247180202502,0.217340744278597,0.6120952019801216,0.3388349376507508,0.19591554000809103,0.23197398448994666,0.4988730277825631,0.5047898487157432,0.33213523675628026,0.20683674441637062,0.0629402950352017,0.2112063401092588
bc,0.17683533951721836,0.4960950368641286,0.4446647664950027,0.5005089586601421,0.33414030025735403,0.5017166261186733,0.02127329201609011,0.3762496252767277,0.27053161123759445,0.3412482949744444,0.4772842828125202,0.15420468634282886,0.6094429228806334,0.3412482949744444,0.2422671986435592,0.12867076810226555,0.47831848610443956,0.5201907356971376,0.3851091211882547,0.17075679077329642,0.1811679793442499,0.0
bc,0.21594204307965204,0.5590596189053002,0.48811357452952225,0.49245375392030755,0.2188429847842185,0.6529940393079087,0.3708294123930165,0.3576107190086755,0.25210834184747827,0.3388349376507508,0.5172706888476529,0.17512194634470704,0.6120952019801216,0.3388349376507508,0.22906633085284558,0.1214030804752719,1.0,0.5660925614979574,0.4331835921110405,0.2365105365677062,0.20035120357445704,0.03471050541113379
bc,0.2147939303381193,0.545223106234413,0.4755092338267955,0.49356962308509067,0.22310958241903409,0.6993212568614837,0.3648894320063245,0.36588088154207593,0.3874701554342835,0.22815787679166902,0.5218366378567564,0.16493792803332655,0.6822100946999794,0.22815787679166902,0.23637139602462806,0.14174528322244784,1.0,0.564788501305403,0.43889598364703736,0.23473665504701444,0.2022197130428321,0.24533178234428962
bc,0.07483934160986144,0.4135140088646164,0.2702739810095981,0.49356962308509067,0.17118422781415998,0.5005388881648419,0.0011469622329105848,0.10616374226317346,0.27975751566519547,0.3388349376507508,0.4219459651974652,0.08805649851127136,0.6120952019801216,0.3388349376507508,0.2839745884473409,0.0,1.0,0.45394405652951947,0.31820564215686514,0.1992493195474523,0.14051634892655526,0.0
