stage,Alanine and aspartate metabolism,Arginine and Proline Metabolism,Citric acid cycle,Eicosanoid metabolism,Fatty acid oxidation,"Glycine, serine, alanine and threonine metabolism",Lysine metabolism,Methionine and cysteine metabolism,Nucleotide interconversion,Pentose phosphate pathway,Tryptophan metabolism,Urea cycle,"Valine, leucine, and isoleucine metabolism"
h,0.6643995584355105,0.8725787880301842,0.9679183810997949,0.8081417007216076,0.8664730826964218,0.5472271186459263,0.32539019984298045,0.973542762908299,0.5330756292579967,0.8993398695173218,0.4397182681379728,0.03775278656239854,0.47148956441292444
h,0.5573837510144134,0.797966750260325,0.8678104327353139,1.0,0.6374635087151325,0.604161603177639,0.37888937683381,0.9011752298818229,0.3002724155790606,0.8781254894588804,0.5430522523551138,0.0,0.539147592220468
h,0.5909446997792878,1.0,1.0,0.9978945075711232,0.5718338061619788,0.0,0.23664271948746313,0.8077423136548795,0.31485740846775445,0.8712519799598129,0.5430522523551138,0.2013407014731914,0.5751143820524686
h,0.8364195470896296,0.807819678416667,0.8991825831901767,1.0,0.9282262794661079,0.6813074924202249,0.2575589148073328,0.844572854462738,0.4989518871758622,0.7378795859612197,0.4772815961424694,0.031152878388228757,0.45401037815796474
h,0.7310665586416953,0.8817071675966136,0.9707948246662352,0.7743052361969545,0.5364943526475616,0.45786204301730526,0.2805846239247944,0.940856465332697,0.3910290181852695,0.7008198910158053,0.4209049628730135,0.05390732281434831,0.5878525868693051
h,0.7048701955358818,0.9159908932794798,1.0,0.7743052361969545,1.0,0.5472271186459263,0.29645819814299423,0.9436541986970066,0.5018175738049377,1.0,0.6878425923560152,0.0721462101928388,0.5416051172874585
h,0.6623858686009035,0.8518302296624618,0.7153669578910536,1.0,0.8891585963981481,0.7732817232494933,0.2135170742015474,0.9050879633555682,0.14287219028754128,0.9742792885281761,0.5430522523551138,0.015438558820068466,0.5477548113162928
h,0.2631536602928417,0.7088389793144063,0.542429611433039,0.41216842755674904,0.0,0.23017362618772366,0.6777166666625292,0.2200111461411109,0.7047153594339346,0.24154145620848638,1.0,0.44432147976921255,0.12723402275547047
h,0.0,0.5137346998012253,0.5232937076508064,0.29751268506604467,0.3350268341423859,0.17577090386700747,1.0,0.5901105120922432,0.30917627220768557,0.7554737896499146,0.23117054490878397,0.4760551908727215,0.0
h,0.8993542215862683,1.0,0.9608470190485402,0.765269312360997,0.994294923400872,0.475649584071779,0.28696924719804384,0.9967578571987163,0.344391926155731,0.7881209204787868,0.42462438912423733,0.12566671147287772,0.574611312168582
h,0.7188708747542573,1.0,0.807622358375031,1.0,1.0,0.5315718599352748,0.24205531535694794,0.9954526026039376,0.3910290181852695,1.0,0.6245828606314736,0.1170539051228711,0.5505993859013953
h,0.7904890385390706,0.297133990950393,0.3188790529016133,0.6354456662410779,0.6704879370388664,0.30405944474307567,0.5528047094420113,0.4956867603737026,0.414421682562259,0.7842898132209687,0.24663556478604748,0.33557829872719025,0.727657703003459
h,0.6045690763616635,1.0,0.9421685422210457,0.8776252581460089,0.938046766137585,0.5472271186459263,0.3002426232746305,0.9413500213895385,0.3085922923746292,1.0,0.5430522523551138,0.10114525480369035,0.45401037815796474
h,0.7018013838080411,0.9165462474030117,1.0,1.0,0.7822288218917247,0.5472271186459263,0.29645819814299423,1.0,0.3875766279037396,1.0,0.5430522523551138,0.07218478041196927,0.5387806485031407
